description,price
Colgate Triple Action Anti-Cavity Family Toothpaste 175g Twin Pack (Assorted),₱185
Colgate Kids Ocean Explorer Toothbrush Multipack (2-8 years) (Assorted),₱99
Colgate Charcoal Clean Toothbrush Buy 2 Get 1 Free (ASSORTED),₱144
Colgate Fresh Confidence Cool Menthol Fresh Toothpaste for Fresh Breath 175g Twin Pack,₱159
COLGATE TB CLASSIC FAMILY PACK,₱49
Colgate Total Professional Clean Toothpaste 132g Twin Pack,₱169
Colgate Fresh Confidence Peppermint Ice Toothpaste for Fresh Breath 173g Twin Pack,₱159
Colgate Maximum Cavity Protection Great Regular Flavor Anti-Cavity Family Toothpaste 195g Twin Pack,₱179
"Colgate Triple Action Toothbrush - Buy 2, Get 1 FREE (Assorted Color)",₱105.75
"Colgate Total Professional Clean Multi-Benefit Antibacterial Toothpaste 150g, Pack of 4",₱423.8
Colgate Fresh Confidence Peppermint Ice Toothpaste with Cooling Crystals 120g Twin Pack,₱139
Colgate Total Mint Dental Floss 50m,₱164.5
"Colgate Total Charcoal Deep Clean Multi-Benefit Antibacterial Toothpaste 150g Twin Pack, Save as much as PHP79^",₱169
"Colgate Plax Antibacterial Mouthwash Ice Intense Flavor 1L, Pack of 2",₱696.96
NEW Colgate Optic White O2 - Whitening Toothpaste - Set of 2 - Twin Pack - Teeth Whitening Stain Removal Toothpaste Product - Tartar Remover - Aromatic Menthol Flavor,₱395
Colgate Naturals Charcoal Clean Toothpaste 115g Twin Pack,₱199
"Colgate Maximum Cavity Protection Great Regular Flavor Anti-Cavity Family Toothpaste 214g, Pack of 4",₱459
"Colgate Plax Antibacterial Mouthwash Peppermint Fresh 1L, Pack of 2",₱792
Colgate Maximum Cavity Protection plus Sugar Acid Neutralizer Anti-Cavity Family Toothpaste 190g Twin Pack,₱180
"Colgate Maximum Cavity Protection Great Regular Flavor Anti-Cavity Family Toothpaste 214g, Pack of 5",₱560.25
COLGATE Classic Deep Clean Toothbrush Medium,₱16
"Colgate Total Professional Clean Multi-Benefit Antibacterial Toothpaste 150g, Pack of 3",₱331.5
Colgate Twister Fresh Toothbrush with Cap - Super Value Pack,₱210
